"species","continent","country","adm1","adm2","locality","lat","lon","coordUncertaintyM","alt","institution","collection","catalogNumber","basisOfRecord","collector","earliestDateCollected","latestDateCollected","gbifNotes","downloadDate","maxElevationM","minElevationM","maxDepthM","minDepthM","ISO2","cloc"
"Alnus serrulata var. vulgaris","North America","United States","Virginia","Arlington","Potomac River, near Four Mile Run C. & O. Canal",38.84,-77.045,NA,NA,"US","Botany","785285","specimen",NA,"1903-06-06","1903-06-06","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Potomac River, near Four Mile Run C. & O. Canal, Virginia, Arlington, United States, North America"
"Alnus serrulata var. vulgaris","North America","United States","Virginia","Arlington","Rosslyn",38.89667,-77.07278,NA,NA,"US","Botany","1522267","specimen","D. Topping","1897-09-17","1897-09-17","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Rosslyn, Virginia, Arlington, United States, North America"
"Alnus serrulata var. vulgaris",NA,"United States","Maryland","Prince Georges","between Laurel and Bowie",39.09917,-76.84861,NA,NA,"US","Botany","751299","specimen",NA,"1912-05-08","1912-05-08","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","between Laurel and Bowie, Maryland, Prince Georges, United States"
"Alnus serrulata var. vulgaris",NA,"United States","Maryland","Prince Georges","Lackawanna St. east extension, north northeast of Berwyn",38.995,-76.92667,NA,NA,"US","Botany","2004517","specimen","F. Hermann","1949-10-27","1949-10-27","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Lackawanna St. east extension, north northeast of Berwyn, Maryland, Prince Georges, United States"
"Alnus serrulata","North America","United States","Virginia","Arlington","Aurora Hills",38.85139,-77.06444,NA,NA,"US","Botany","3336734","specimen",NA,"1940-03-24","1940-03-24","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Aurora Hills, Virginia, Arlington, United States, North America"
"Alnus serrulata var. vulgaris","North America","United States","Virginia","Fauquier","South of Hopewell Gap",38.86639,-77.70639,NA,NA,"US","Botany","1677003","specimen",NA,"1935-03-10","1935-03-10","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","South of Hopewell Gap, Virginia, Fauquier, United States, North America"
"Alnus serrulata var. vulgaris",NA,"United States","Maryland","Prince Georges","Below Martins Lane, Briar Ditch Valley",38.97111,-76.91722,NA,NA,"US","Botany","2344657","specimen",NA,"1960-06-26","1960-06-26","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Below Martins Lane, Briar Ditch Valley, Maryland, Prince Georges, United States"
"Alnus serrulata var. vulgaris","North America","United States","Virginia","Fairfax","Mount Vernon vicinity",38.71889,-77.11028,NA,NA,"US","Botany","584881","specimen",NA,"1915-05-01","1915-05-01","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Mount Vernon vicinity, Virginia, Fairfax, United States, North America"
"Alnus serrulata var. vulgaris","North America","United States","District of Columbia",NA,"Washington DC Area",38.895,-77.03667,NA,NA,"US","Botany","787575","specimen","W. Seaman",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Washington DC Area, District of Columbia, United States, North America"
"Alnus serrulata var. vulgaris","North America","United States","Virginia","Fairfax","Cub Run, downstream from Route 211",38.79667,-77.46611,NA,NA,"US","Botany","2068925","specimen",NA,"1952-06-22","1952-06-22","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Cub Run, downstream from Route 211, Virginia, Fairfax, United States, North America"
"Alnus serrulata","North America","United States","District of Columbia",NA,"Oxon Run Parkway, bog on East, N of Southern Ave, W of Valley Terrace",38.81694,-77.00667,NA,NA,"US","Botany","3190905","specimen","P. Fleming","1989-03-13","1989-03-13","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Oxon Run Parkway, bog on East, N of Southern Ave, W of Valley Terrace, District of Columbia, United States, North America"
"Alnus serrulata","North America","United States","District of Columbia",NA,"Rock Creek Park. Beach Drive, north of Rapids Bridge, east Bank. Rock Creek Park & vicinity",38.91139,-77.04417,NA,NA,"US","Botany","3117605","specimen","P. Fleming","1987-03-19","1987-03-19","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Rock Creek Park. Beach Drive, north of Rapids Bridge, east Bank. Rock Creek Park & vicinity, District of Columbia, United States, North America"
"Alnus serrulata var. vulgaris",NA,"United States","Maryland","Prince Georges","Sewage Plant vicinity, south of Bladensburg",38.93889,-76.94028,NA,NA,"US","Botany","2162764","specimen",NA,"1954-09-28","1954-09-28","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Sewage Plant vicinity, south of Bladensburg, Maryland, Prince Georges, United States"
"Alnus serrulata var. vulgaris","North America","United States","Maryland","Montgomery","Chevy Chase Lake vicinity",38.99194,-77.07083,NA,NA,"US","Botany","618241","specimen",NA,"1900-03-25","1900-03-25","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Chevy Chase Lake vicinity, Maryland, Montgomery, United States, North America"
"Alnus serrulata","North America","United States","Virginia","Fairfax","Along Turkeycock Run, 0.3 mi. N of Fairland, 6 mi. W of Alexandria",38.79972,-77.14278,NA,75,"US","Botany","3369022","specimen",NA,"1945-12-03","1945-12-03","Data from GBIF data index - original values.",2013-05-12,"80","70",NA,NA,"US","Along Turkeycock Run, 0.3 mi. N of Fairland, 6 mi. W of Alexandria, Virginia, Fairfax, United States, North America"
"Alnus serrulata var. vulgaris","North America","United States","Virginia","Fauquier","East of High Point, Valley Road",38.85611,-77.71444,NA,NA,"US","Botany","1727196","specimen",NA,"1937-02-22","1937-02-22","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","East of High Point, Valley Road, Virginia, Fauquier, United States, North America"
"Alnus serrulata","North America","United States","Virginia","Fairfax","Above Southern R.R. Bridge over Accotink Creek, 9 mi. W of Alexandria",38.69889,-77.16139,NA,52.5,"US","Botany","3372668","specimen",NA,"1945-07-01","1945-07-01","Data from GBIF data index - original values.",2013-05-12,"55","50",NA,NA,"US","Above Southern R.R. Bridge over Accotink Creek, 9 mi. W of Alexandria, Virginia, Fairfax, United States, North America"
"Alnus serrulata var. vulgaris","North America","United States","District of Columbia",NA,"Broad Branch Rock Creek Park & vicinity",38.94389,-77.04917,NA,NA,"US","Botany","363210","specimen","E. Steele","1896-04-02","1896-04-02","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Broad Branch Rock Creek Park & vicinity, District of Columbia, United States, North America"
"Alnus serrulata var. vulgaris","North America","United States","District of Columbia",NA,"Terra Cotta",38.95083,-77.00194,NA,NA,"US","Botany","690593","specimen",NA,"1910-10-26","1910-10-26","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Terra Cotta, District of Columbia, United States, North America"
"Alnus serrulata var. subelliptica",NA,"Canada","Nova Scotia",NA,"Italy Cross, Wallace Lake at outlet",44.26023,-64.55026,NA,NA,"ACAD","ECSMITH HERBARIUM","61874","specimen","Donly, JF",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Italy Cross, Wallace Lake at outlet, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"Hibernia, First Christopher Lake, Queens County Fish and Game Association",44.331497,-64.96859,NA,NA,"ACAD","ECSMITH HERBARIUM","ECS005076","specimen","MacKay, PR",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Hibernia, First Christopher Lake, Queens County Fish and Game Association, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"Hibernia, First Christopher Lake",44.335037,-64.99114,NA,NA,"ACAD","ECSMITH HERBARIUM","61875","specimen","Donly, JF",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Hibernia, First Christopher Lake, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"Hibernia",44.33549,-64.99251,NA,NA,"ACAD","ECSMITH HERBARIUM","35512","specimen","Smith, EC; Taylor, JC; Webster, DH; Schofield, WB; Bentley, PA",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Hibernia, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"Italy Cross, South edge of lake",44.26023,-64.55026,NA,NA,"ACAD","ECSMITH HERBARIUM","44985","specimen","Erskine, JS",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Italy Cross, South edge of lake, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"Middle East Pubnico, French Lake",43.65314,-65.72806,NA,NA,"ACAD","ECSMITH HERBARIUM","32746","specimen","Erskine, JS",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Middle East Pubnico, French Lake, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"Ponhook Lake",44.316666,-64.88333,NA,NA,"ACAD","ECSMITH HERBARIUM","28639","specimen","Smith, EC; Taylor, JC; Webster, DH; Slipp, LB",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Ponhook Lake, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"Italy Cross, Wallace Lake",44.26023,-64.55026,NA,NA,"ACAD","ECSMITH HERBARIUM","43165","specimen","Donly, JF",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Italy Cross, Wallace Lake, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"Italy Cross, large clump at edge of lake",44.26023,-64.55026,NA,NA,"ACAD","ECSMITH HERBARIUM","44984","specimen","Erskine, JS",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Italy Cross, large clump at edge of lake, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"Italy Cross, South edge of lake",44.26023,-64.55026,NA,NA,"ACAD","ECSMITH HERBARIUM","45195","specimen","Erskine, JS",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Italy Cross, South edge of lake, Nova Scotia, Canada"
"Alnus serrulata var. subelliptica",NA,"Canada","Nova Scotia",NA,"Italy Cross, Edge of Wallace Lake",44.26043,-64.55026,NA,NA,"ACAD","ECSMITH HERBARIUM","59702","specimen","Smith, EC; Demone, GR; Walker, DM; Campbell, FP; Willis, AR",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Italy Cross, Edge of Wallace Lake, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"South Brookfield, Ponhook Lake",44.326935,-64.93145,NA,NA,"ACAD","ECSMITH HERBARIUM","47046","specimen","Smith, EC; Curry, WJ; Clattenburg, RE; MacDonald, AC",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","South Brookfield, Ponhook Lake, Nova Scotia, Canada"
"Alnus serrulata",NA,"Canada","Nova Scotia",NA,"First Christopher Lake",44.33079,-64.9692,NA,NA,"ACAD","ECSMITH HERBARIUM","63984","specimen","Smith, EC; Pick, DL; Hounsell, RW",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","First Christopher Lake, Nova Scotia, Canada"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Fairfield County","Newtown",41.42666,-73.31111,"5000",121,"UConn","CONN","CONN00086088","specimen","Steven D. Glenn","1998-08-06","1998-08-06","Data from GBIF data index - original values.",2013-05-12,"121","121",NA,NA,"US","Newtown, Connecticut, Fairfield County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Hartford County","Northwest Park",41.905,-72.70194,"5000",NA,"UConn","CONN","CONN00062078","specimen","Tad M. Zebryk","1998-05-12","1998-05-12","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Northwest Park, Connecticut, Hartford County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Rhode Island","Kent County","Bailey Pond, West Greenwich",41.63583,-71.79111,"20000",NA,"UConn","CONN","CONN00149416","specimen","Leslie J. Mehrhoff","1995-08-29","1995-08-29","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Bailey Pond, West Greenwich, Rhode Island, Kent County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Rhode Island","Providence County","East Providence",41.81361,-71.37055,NA,NA,"UConn","CONN","CONN00017388","specimen","G.S. Torrey","1913-06-29","1913-06-29","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","East Providence, Rhode Island, Providence County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Pennsylvania","Bucks County","Bucks County",40.50027,-75.375,NA,NA,"UConn","CONN","CONN00055801","specimen","C.D. Fretz","1905-02-23","1905-02-23","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Bucks County, Pennsylvania, Bucks County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New London County","Trails Corner",41.34138,-72.05777,"20000",NA,"UConn","CONN","CONN00017360","specimen","K.P. Jansson","1939-09-24","1939-09-24","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Trails Corner, Connecticut, New London County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","New Jersey","Morris County","Morris Township",40.775,-74.48333,NA,NA,"UConn","CONN","CONN00017384","specimen","Leslie J. Mehrhoff","1985-02-17","1985-02-17","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Morris Township, New Jersey, Morris County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","New York","Westchester County","Wampus River, Armonk, North Castle",41.12111,-72.71083,"5000",NA,"UConn","CONN","CONN00017399","specimen","R. Schmidt & R. Goldstein","1974-06-27","1974-06-27","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Wampus River, Armonk, North Castle, New York, Westchester County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New Haven County","Lake Quassapaug",41.52666,-73.15833,"2",NA,"UConn","CONN","CONN00136189","specimen","Leslie J. Mehrhoff","1983-06-30","1983-06-30","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Lake Quassapaug, Connecticut, New Haven County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Massachusetts","Norfolk County","Coon Hollow Brook, Milton",42.20888,-71.10138,"20000",NA,"UConn","CONN","CONN00017409","specimen","G.S. Torrey","1913-04-29","1913-04-29","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Coon Hollow Brook, Milton, Massachusetts, Norfolk County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Middlesex County","Chapman's Pond",41.43861,-72.44472,"5000",NA,"UConn","CONN","CONN00158895","specimen","N.E. Barrett","1983-07-19","1983-07-19","Data from GBIF data index - original values.",2013-05-12,"0","0",NA,NA,"US","Chapman's Pond, Connecticut, Middlesex County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Litchfield County","South Spectacle Pond",41.71638,-73.41944,"1",NA,"UConn","CONN","CONN00140804","specimen","Leslie J. Mehrhoff","1975-08-06","1975-08-06","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","South Spectacle Pond, Connecticut, Litchfield County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New London County","Groton",41.35,-72.07833,"5000",7,"UConn","CONN","CONN00142097","specimen","Leslie J. Mehrhoff","1995-09-27","1995-09-27","Data from GBIF data index - original values.",2013-05-12,"7","7",NA,NA,"US","Groton, Connecticut, New London County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New London County","Trails Corner",41.34138,-72.05777,"20000",NA,"UConn","CONN","CONN00017350","specimen","K.P. Jansson","1939-09-24","1939-09-24","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Trails Corner, Connecticut, New London County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New London County","Lebanon",41.6325,-72.24055,NA,NA,"UConn","CONN","CONN00017362","specimen","Mary Brescia","1990-08-01","1990-08-01","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Lebanon, Connecticut, New London County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Rhode Island","Providence County","Glocester",41.9,-71.63333,NA,NA,"UConn","CONN","CONN00017407","specimen","J. Franklin Collins","1919-05-31","1919-05-31","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Glocester, Rhode Island, Providence County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Massachusetts","Essex County","Plum Island",42.81861,-70.8175,"5000",NA,"UConn","CONN","CONN00165474","specimen","McDonnell, Mark J.","1977-06-22","1977-06-22","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Plum Island, Massachusetts, Essex County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Fairfield County","Indian Well State Park",41.34388,-73.12722,NA,28,"UConn","CONN","CONN00043442","specimen","Steve Glenn","1995-08-10","1995-08-10","Data from GBIF data index - original values.",2013-05-12,"28","28",NA,NA,"US","Indian Well State Park, Connecticut, Fairfield County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","New York","Westchester County","Wampus River, Armonk, North Castle",41.12111,-72.71083,"5000",NA,"UConn","CONN","CONN00017412","specimen","R. Schmidt & R. Goldstein","1974-06-27","1974-06-27","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Wampus River, Armonk, North Castle, New York, Westchester County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New London County","Groton",41.34583,-72.03027,NA,7,"UConn","CONN","CONN00017366","specimen","K.P. Jansson","1939-09-24","1939-09-24","Data from GBIF data index - original values.",2013-05-12,"7","7",NA,NA,"US","Groton, Connecticut, New London County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Massachusetts","Norfolk County","Brookline",42.34833,-71.13777,NA,NA,"UConn","CONN","CONN00017391","specimen","F.F. Forbes","1903-03-20","1903-03-20","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Brookline, Massachusetts, Norfolk County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Litchfield County","Housatonic River, Cornwall",41.85361,-73.37388,"5000",NA,"UConn","CONN","CONN00150345","specimen","Leslie J. Mehrhoff","1979-07-24","1979-07-24","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Housatonic River, Cornwall, Connecticut, Litchfield County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New London County","Uncas Pond",41.37416,-72.31388,"2",NA,"UConn","CONN","CONN00144658","specimen","Leslie J. Mehrhoff","1981-09-08","1981-09-08","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Uncas Pond, Connecticut, New London County, United States"
"Alnus serrulata Willd. var. subelliptica Fernald f. emarginata Fernald",NA,"United States","Connecticut","Hartford County","Rainbow",41.91805,-72.69305,"20000",NA,"UConn","CONN","CONN00052008","specimen","H.S. Clark","1906-09-16","1906-09-16","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Rainbow, Connecticut, Hartford County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New Haven County","Pine Orchard",41.26694,-72.7775,"3",NA,"UConn","CONN","CONN00017378","specimen","A.W. Driggs","1915-07-16","1915-07-16","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Pine Orchard, Connecticut, New Haven County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Windham County","Quaddick Reservoir",41.94277,-71.82944,"4",NA,"UConn","CONN","CONN00132144","specimen","Leslie J. Mehrhoff","1983-07-16","1983-07-16","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Quaddick Reservoir, Connecticut, Windham County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Tolland County","Coventry",41.78444,-72.33944,NA,NA,"UConn","CONN","CONN00017357","specimen","B.A. Allen","1975-10-05","1975-10-05","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Coventry, Connecticut, Tolland County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","New Jersey","Burlington County","Calico Ridge Campsite, Oswego River, Jenkins, Washington Township",39.65805,-74.52777,"5000",NA,"UConn","CONN","CONN00017405","specimen","Leslie J. Mehrhoff","1985-08-29","1985-08-29","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Calico Ridge Campsite, Oswego River, Jenkins, Washington Township, New Jersey, Burlington County, United States"
"Alnus serrulata Willd. var. subelliptica Fernald f. emarginata Fernald",NA,"United States","Connecticut","Hartford County","Windsor",41.875,-72.66666,NA,NA,"UConn","CONN","CONN00052007","specimen","C.H. Bissell","1906-09-16","1906-09-16","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Windsor, Connecticut, Hartford County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Tolland County","Mansfield",41.78833,-72.22944,"5000",195,"UConn","CONN","CONN00043481","specimen","M.W. Lefor, S.J. Barlow & R.A. Pfeffer","1975-10-10","1975-10-10","Data from GBIF data index - original values.",2013-05-12,"195","195",NA,NA,"US","Mansfield, Connecticut, Tolland County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Hartford County","Northwest Park",41.905,-72.70194,"5000",NA,"UConn","CONN","CONN00061152","specimen","Tad M. Zebryk","1998-07-10","1998-07-10","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Northwest Park, Connecticut, Hartford County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Fairfield County","Ridgefield",41.25222,-73.50083,"5000",216,"UConn","CONN","CONN00038791","specimen","Steve Glenn","1995-07-11","1995-07-11","Data from GBIF data index - original values.",2013-05-12,"216","216",NA,NA,"US","Ridgefield, Connecticut, Fairfield County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Tolland County","Donovan's Pond",41.78944,-72.26083,"20000",NA,"UConn","CONN","CONN00017358","specimen","Mildred T. Travis","1939-10-05","1939-10-05","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Donovan's Pond, Connecticut, Tolland County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New London County","Lieutenant River, Old Lyme",41.32333,-72.33138,"20000",NA,"UConn","CONN","CONN00017349","specimen","Leslie J. Mehrhoff","1990-09-19","1990-09-19","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Lieutenant River, Old Lyme, Connecticut, New London County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Fairfield County","Redding Ridge, Redding",41.31333,-73.33583,"5000",137,"UConn","CONN","CONN00038789","specimen","Steve Glenn","1994-08-15","1994-08-15","Data from GBIF data index - original values.",2013-05-12,"137","137",NA,NA,"US","Redding Ridge, Redding, Connecticut, Fairfield County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Fairfield County","Redding Ridge, Redding",41.31333,-73.33583,"5000",137,"UConn","CONN","CONN00038790","specimen","Steve Glenn","1994-08-15","1994-08-15","Data from GBIF data index - original values.",2013-05-12,"137","137",NA,NA,"US","Redding Ridge, Redding, Connecticut, Fairfield County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Rhode Island","Newport County","Little Compton",41.51666,-71.16666,NA,NA,"UConn","CONN","CONN00017385","specimen","J. Franklin Collins","1919-07-27","1919-07-27","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Little Compton, Rhode Island, Newport County, United States"
"Alnus serrulata Willd. var. subelliptica Fernald f. emarginata Fernald",NA,"United States","Connecticut","Hartford County","Rainbow",41.91805,-72.69305,"20000",NA,"UConn","CONN","CONN00052009","specimen","H.S. Clark","1906-09-16","1906-09-16","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Rainbow, Connecticut, Hartford County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New London County","Lyme",41.3975,-72.34666,"5000",7,"UConn","CONN","CONN00144236","specimen","Leslie J. Mehrhoff","1983-08-02","1983-08-02","Data from GBIF data index - original values.",2013-05-12,"7","7",NA,NA,"US","Lyme, Connecticut, New London County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","New London County","Norwich",41.54944,-72.08833,"20000",NA,"UConn","CONN","CONN00152742","specimen","Leslie J. Mehrhoff","1975-07-25","1975-07-25","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Norwich, Connecticut, New London County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Rhode Island","Providence County","Olney Pond, Lincoln Woods State Park, Lincoln",41.89472,-71.42722,"20000",NA,"UConn","CONN","CONN00017394","specimen","J. Franklin Collins","1919-09-19","1919-09-19","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Olney Pond, Lincoln Woods State Park, Lincoln, Rhode Island, Providence County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Rhode Island","Providence County","Lime Rock",41.92861,-71.45083,"20000",NA,"UConn","CONN","CONN00017397","specimen","J. Franklin Collins","1906-10-19","1906-10-19","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Lime Rock, Rhode Island, Providence County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Tolland County","University of Connecticut",41.80916,-72.25416,"20000",NA,"UConn","CONN","CONN00017371","specimen","A.F. Schulze","1911-02-22","1911-02-22","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","University of Connecticut, Connecticut, Tolland County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Massachusetts","Hampshire County","Northampton",42.325,-72.64111,"5000",NA,"UConn","CONN","CONN00131887","specimen","Leslie J. Mehrhoff","1983-07-20","1983-07-20","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Northampton, Massachusetts, Hampshire County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Hartford County","Bloomfield",41.82638,-72.73,"5000",42,"UConn","CONN","CONN00150584","specimen","Leslie J. Mehrhoff","1993-09-24","1993-09-24","Data from GBIF data index - original values.",2013-05-12,"42","42",NA,NA,"US","Bloomfield, Connecticut, Hartford County, United States"
"Alnus serrulata (Aiton) Willd.",NA,"United States","Connecticut","Hartford County","Congamond Lake",42.025,-72.75694,"20000",NA,"UConn","CONN","CONN00017377","specimen","Jesse F. Smith","1948-07-26","1948-07-26","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Congamond Lake, Connecticut, Hartford County, United States"
"Alnus serrulata Willd. var. serrulata",NA,"United States","Rhode Island","Kent County","Spring Green, Warwick",41.74,-71.41222,"20000",NA,"UConn","CONN","CONN00017406","specimen","J. Franklin Collins","1907-10-12","1907-10-12","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Spring Green, Warwick, Rhode Island, Kent County, United States"
